Timestamp,Moeda,Tipo,Preco,DEX
2026-01-05 11:16:52,USDe,COMPRA,0.9997,camelot
2026-01-05 11:16:52,MIM,COMPRA,0.9999,uniswap
2026-01-05 11:40:57,USDT,COMPRA,0.9995,uniswap
2026-01-05 11:40:57,USDe,COMPRA,0.9997,camelot
2026-01-05 11:40:57,MIM,COMPRA,0.9999,uniswap
2026-01-05 11:51:36,USDT,COMPRA,0.9995,uniswap
2026-01-05 11:51:36,USDe,COMPRA,0.9997,camelot
2026-01-05 11:51:36,MIM,COMPRA,0.9999,uniswap
2026-01-05 12:39:10,USDT,COMPRA,0.9996,uniswap
2026-01-05 12:39:10,USDe,COMPRA,0.9997,camelot
2026-01-05 12:39:10,MIM,COMPRA,0.9999,uniswap
2026-01-05 13:29:07,USDT,COMPRA,0.9996,uniswap
2026-01-05 13:29:07,USDe,COMPRA,0.9996,camelot
2026-01-05 13:29:07,MIM,COMPRA,0.9999,uniswap
2026-01-05 13:57:39,USDT,COMPRA,0.9996,uniswap
2026-01-05 13:57:39,USDe,COMPRA,0.9997,camelot
2026-01-05 13:57:39,MIM,COMPRA,0.9999,uniswap
2026-01-05 14:27:19,USDT,COMPRA,0.9996,uniswap
2026-01-05 14:27:19,USDe,COMPRA,0.9997,camelot
2026-01-05 14:27:19,MIM,COMPRA,0.9999,uniswap
2026-01-05 14:51:42,USDT,COMPRA,0.9996,uniswap
2026-01-05 14:51:42,USDe,COMPRA,0.9997,camelot
2026-01-05 14:51:42,MIM,COMPRA,0.9999,uniswap
